colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,loss,iteration
0.26754630259015505,0.8713940588310594,0.019610428832139187,0.03933676570300125,12,0,300,3,2.222089302314102,0.7490236237832315,421.3011678982472,35
0.2884363264156826,0.7619598104968319,1.696761254618271,0.06952345658919262,12,1,272,2,1.963071072326529,0.6600518422024593,422.3400969283819,54
0.24905738534500724,0.8763268339029033,4.470659587053673,0.0566251571883095,12,1,385,23,2.207411163504782,0.5500872706604445,422.8540969940921,187
0.4023731484249799,0.8356811119518371,3.812081707922503,0.06672567711820925,12,3,259,14,2.206277255329539,0.5348203501426291,423.0512626200487,144
0.24171081329982003,0.9556631104503153,5.788509365268332,0.052840659056563134,12,5,343,15,2.6536338346821586,0.6225833766669436,423.0577831793491,171
0.47077077806919837,0.5211092007539988,0.9532408425091634,0.07198282679636234,12,0,300,14,1.744478932149286,0.7172955585743089,423.445758338469,24
0.34678018661609145,0.7913582195782967,1.846426222370594,0.06390586340550752,12,2,314,7,2.554955451966009,0.46645064590630597,423.5578136832093,81
0.24544703533930673,0.9970361290683272,5.467674197808786,0.04410270219175953,12,5,351,17,2.860915006540946,0.5434763952942296,423.5828889236756,172
0.26337248356916176,0.7680384835742204,0.2735666243314804,0.08356984288942525,12,0,378,28,2.0368976698210504,0.683662166137308,423.6411315686972,70
0.39629897324123464,0.8463125169749786,0.6939493434256587,0.04121862317961668,12,3,383,3,2.5151741883599206,0.4108688511825688,423.8372833754521,150
0.31747051111612345,0.6853427438313522,0.0005494567740613743,0.06350314475353144,12,0,205,14,2.1018643338640977,0.727738993154964,423.9689620895591,10
0.23033578460180948,0.9199525534813664,2.6658201431501323,0.053097399203692774,12,0,363,28,0.5072459208109374,0.7375662881081929,424.0817998235216,102
0.44564319578184997,0.5830772892895707,1.015421142859369,0.11686265101164683,12,8,272,20,1.40389040738344,0.6633741749099312,424.1147226224018,68
0.2194314982520673,0.8665332306018316,5.230622881642602,0.07156956338428247,12,4,295,26,2.34271819366869,0.5509151566015451,424.4669263180366,200
0.25587368322312104,0.9180631974934331,1.9670233903255243,0.09996726940863858,12,2,202,3,1.5131601172629399,0.4798213915295477,424.63535220711645,38
0.31807017507891344,0.6992266056813253,1.6947192287909314,0.0750240812808214,12,3,281,6,2.0423512384722136,0.566969389501582,424.66480801119513,48
0.28029691931826406,0.8185494886596217,1.5510527914473948,0.031051077242874772,12,4,355,25,2.6579729551277578,0.720948131431656,424.9542792587216,114
0.44549377848825056,0.8331667548526952,5.9138672483007175,0.06622845520071431,12,3,274,12,2.594799039335859,0.43561515757204117,425.19411550125614,145
0.4233468639642654,0.8120467378534812,2.6581398195699344,0.05678508390937745,12,3,425,14,2.2176643540725776,0.5373136387981028,425.2246896820636,146
0.37069332491942175,0.8315906710803683,3.2417573621688973,0.1063469519128854,12,3,153,23,2.078341268782847,0.566937342280196,425.2360646644586,198
0.14460236010056163,0.9449253473723591,6.492576038679052,0.11911731310799722,12,1,343,28,2.9260367340843665,0.612105351334838,425.2806317808043,180
0.23549531089047526,0.8736410996995464,5.602326948218206,0.1521305742799889,12,7,366,23,2.5031341761773525,0.6891884609134876,425.3760239425871,139
0.31367925571396116,0.8220525493129868,4.957396323714654,0.08601824833218978,12,8,398,2,2.256703950438751,0.4713796838670754,425.4110901925762,152
0.3064673901879715,0.9343607398658016,2.2790347518279104,0.0957401345735337,12,7,293,10,1.7167028575462657,0.637886977639724,425.510550942656,126
0.29606753852848294,0.6799103976781088,0.5272074887481866,0.11522929408010896,12,3,345,24,2.802367418773082,0.6970282765267294,425.522627425471,131
0.20395769936888763,0.9234557948604858,5.721536716544365,0.10869463621562148,12,5,442,16,2.4783088413145666,0.5576823872222131,425.6156946719043,178
0.3391716167071751,0.7710906495410095,2.399593056369113,0.11124604521114859,12,0,189,25,2.6835487402690683,0.5313745504308967,425.6652797799822,153
0.4509591267556956,0.8940691830173663,4.078917418114709,0.038947458730128906,10,2,341,10,2.5389794506158694,0.6023601174488253,425.9694766236829,169
0.47203072669825813,0.78409624354098,4.354132330295772,0.019739810000272664,12,3,374,14,2.1446161881042993,0.39083619680260606,426.0182270680099,148
0.4935267910102878,0.5896635042932429,0.8048871028901976,0.1282110118393766,12,5,144,14,1.3561126253738351,0.749250026473907,426.1029298115458,25
0.30382525504637437,0.6549896045161374,6.925725970207305,0.13533946299591787,12,5,178,2,2.824573277181263,0.6971999430740434,426.2335364579831,60
0.36165291382163456,0.7605983017341666,3.992161261472143,0.06530595301903327,12,1,380,23,1.881380035067637,0.47387194960410073,426.3688734728913,191
0.2811991643617449,0.8578512145442989,5.466711789947502,0.08341483481039468,12,7,218,27,2.260015376233485,0.5893186682499706,426.3712799395356,183
0.28717442267728727,0.9038939465928589,1.7647217615888329,0.05900176687430128,12,0,444,15,1.4135987735847557,0.7285879632179724,426.37342857025953,97
0.24222386534324025,0.9650653761663688,0.3856194997017828,0.040329314021309993,10,1,409,18,1.558200682471594,0.5955844515490294,426.76639307730704,109
0.3362977882330711,0.8813081629527908,4.224053004464226,0.12409406233494509,10,1,120,17,1.5917492150409494,0.7069936464158906,427.05449300597337,65
0.19175759444060092,0.8656418426646361,4.8997181549116755,0.06494817447092618,12,1,280,5,2.9965258550627567,0.41426237541574656,427.0996444109959,58
0.4025433277812252,0.7599431451794463,0.08284091071091336,0.12185968823088689,12,8,325,21,1.4105740691704765,0.628348109912765,427.28053658551823,29
0.2662531594506872,0.7325022401751196,3.8189988847981127,0.034208454723293556,12,3,388,8,1.8173985741301493,0.4893285638538838,427.6765197702369,196
0.35297619857071766,0.7491334451007947,4.550599066541498,0.02612763144432991,12,1,223,7,1.6952625448224574,0.6557865929017335,427.7910084351778,154
0.36070589211780885,0.6827876800106869,0.43515609156313767,0.11195197700690301,10,0,370,4,2.167910418491135,0.5860166193151894,427.8030550655824,51
0.455427466299699,0.8042956856730565,3.878893083954294,0.0931910612872143,12,3,276,14,1.8377852383309068,0.5168728704874157,427.8100336066423,149
0.30564588500308354,0.863230150564764,1.420978681919732,0.09370142233162998,12,1,300,11,1.7386988292628,0.6451242150225878,427.8635451278552,168
0.24909815229032034,0.9982263266242766,1.0683786378124616,0.08992719386979542,11,8,349,7,0.21635603767767697,0.47866612819040744,428.0322037955148,46
0.2927010678130568,0.8463549688337123,4.402368694588593,0.09774848553816007,12,1,105,2,2.214908229886965,0.40633996631115055,428.46180735624966,189
0.17087342458781857,0.8847443069836807,5.074222015220087,0.23847834883653748,12,9,175,3,2.256732635459791,0.7054754666306116,428.7251803307252,116
0.25249490497466726,0.8121931988706956,4.458450225115092,0.11352998572133968,11,1,159,4,1.578629973583836,0.5019979547352746,428.8346019854641,195
0.33551663123482967,0.5542947822263663,3.61941002904471,0.13455532995372976,12,0,234,12,1.4483954687118232,0.4855948895452826,429.24368031298246,110
