colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,loss,iteration
0.7208173699904934,0.8869844850948831,14.37612531296872,0.13507441403361448,25,6,362,16,35.58162901107093,0.9394044256902594,4.711881538,21
0.717406201317038,0.8455737018287846,11.703255913567824,0.05056865228479151,25,7,550,17,38.86548417868076,0.7075108553212388,4.773896436,68
0.7743031934701998,0.823202133315575,14.297133858624136,0.07999827466404029,26,1,240,28,38.608678964661436,0.7623575328307018,4.77738083,9
0.9299553920339775,0.8865387455161725,12.670324342711007,0.05388332482168236,26,9,267,3,49.564882153872446,0.7836241366634971,4.780807504,31
0.9183668989560175,0.8852564162626355,12.531425864313405,0.08095830168798035,26,11,368,3,50.483103160176185,0.6331240426278248,4.781861975,65
0.7810782219007167,0.7420758753235905,11.74573067607966,0.08235289505032693,26,6,286,22,45.957110383105174,0.8777371614901357,4.797920218,40
0.6299722205023804,0.9434298312989581,12.442081979707591,0.09642429975532435,22,29,542,26,37.967485470857675,0.9340057826189503,4.81637953,92
0.6119545721453118,0.8567444473879727,14.785182970764106,0.14632527109209134,27,21,213,16,26.88955520400313,0.9287739728336256,4.826863175,22
0.751780035772508,0.9676082601407279,11.193638335664716,0.12548454016582675,27,15,230,8,27.486668685203796,0.5784233347267647,4.832564247,72
0.8144037526374698,0.8511056111479495,13.93754804991391,0.045149314801817546,25,7,265,17,44.60281961726652,0.8606158935007743,4.839104821,70
0.5614913967393718,0.8310447678496933,13.624266641482713,0.11876545970215682,25,25,507,24,38.37268913176761,0.9476119164374818,4.844768745,24
0.347015931212897,0.9758981023577387,13.164255061241432,0.13460284118398363,25,25,528,20,62.22159181094973,0.8706641179437742,4.855890672,86
0.8806581024765968,0.9292339284818303,14.621629920182794,0.10221837784602172,20,28,360,2,33.13062825378945,0.9120770053381502,4.861388016,83
0.8626632737547569,0.9669955154098787,10.870088148071357,0.17665079703669304,16,18,585,5,4.548144355133047,0.9341084108223606,4.862299954,59
0.7183439499033077,0.78597055201661,12.041132088024202,0.11782410205945745,25,7,252,17,39.933523114101526,0.700190408162806,4.864850937,69
0.7391850678868204,0.6531910315123948,13.625633311573479,0.11216728790593893,25,1,471,15,42.237531997463414,0.6805455316610738,4.86790644,80
0.682080982784173,0.7224817999954,3.138032249390565,0.19782903296476878,23,17,682,16,48.34643308717091,0.8326891309384491,4.895832538,62
0.8336396408498015,0.9008744401737364,14.136548996288433,0.1840821686903476,16,7,405,27,36.82086685928803,0.8493871778206241,4.920423083,38
0.9460238040535154,0.8731102580207297,14.453920051629932,0.09140127796313105,26,5,100,3,57.163291662797505,0.7705618101594932,4.946582093,66
0.9465074886001682,0.5105394211734791,5.750392248478642,0.13363056264580236,25,1,475,7,33.15792488249273,0.6738636515407261,4.959940996,51
0.7989236373989136,0.9053818485658374,7.196010433294132,0.23029741759099331,16,6,348,16,67.2541514054042,0.8433249995166557,4.962388616,7
0.6723238231961522,0.6229806825775337,10.06098902571646,0.21051562466352275,25,6,689,19,29.93658767231516,0.6591153288164823,4.965458186,93
0.5409199446214433,0.909184492380424,7.5479766971909905,0.07277811381274522,19,24,336,1,28.580422164873568,0.8267092089290744,4.96843171,90
0.8175347571934733,0.7872173461838802,8.713457905716684,0.12323293212670594,23,21,285,11,54.96151095959782,0.6928313423734326,4.970491161,89
0.6888693037938249,0.7332210456088875,10.431790437623354,0.1613688944990465,24,10,351,27,31.26197529552676,0.5245161548057994,4.98289434,75
0.9113278962090436,0.8441463199389606,7.556420583393874,0.042108478438465456,26,8,479,12,61.59213182500178,0.3972204553378991,4.983135715,56
0.6132959103189455,0.6543489757458356,13.38309962879909,0.10593757932914366,24,18,649,12,82.08734940133431,0.7137851203690042,4.995420419,96
0.809417066647758,0.7010910584592974,10.184020654542744,0.11484352510099083,25,22,262,17,1.8472791604334375,0.5624851271961279,5.012326935,33
0.6393861106652065,0.9328787746062259,10.11618173996159,0.053296091999427204,19,20,407,28,65.83868250723158,0.7919182007281446,5.043601181,63
0.5576318515601599,0.8250239542298693,11.834365838769122,0.285153739614815,19,23,187,21,34.02872064711811,0.8147930449410807,5.069228663,42
0.5351362238224868,0.9016285131658576,9.146434351636149,0.030333578185486737,26,22,600,6,99.79199370004652,0.5845832817561551,5.072524832,64
0.9041849564989193,0.769190608872929,12.313991995175085,0.09340204588990964,21,27,151,13,42.38249336483611,0.8054340339274453,5.092169963,36
0.3732200777006701,0.9240677320104678,13.512623482970067,0.07272872665103929,26,12,670,2,97.06249657152976,0.291749756699631,5.093657129,12
0.3876709124912089,0.8858446188549474,14.091539504637604,0.22826706272887576,25,29,131,1,17.67101312346551,0.610730473874498,5.101497654,55
0.42635665000626394,0.6220240036787791,13.208704926297473,0.24611830192850648,20,12,389,19,30.189747738101225,0.7641439207238347,5.115967739,57
0.7983046776551026,0.8410847148139505,14.331398140034501,0.023466770478306514,17,12,604,10,18.60175394359207,0.6093874355559441,5.126688718,91
0.632974677143592,0.483997144598994,9.623931730267866,0.22737603046796495,24,16,536,28,0.38734558472029335,0.9193779434846973,5.129374826,45
0.8700843461855217,0.6388877218786435,1.8386872395762661,0.03253884556670738,20,15,498,28,9.762294835007967,0.49915965354945524,5.175230955,16
0.5092618254846252,0.9998488530105423,12.878958126812888,0.06464075760126105,15,6,300,18,39.333240397328915,0.8455152486173905,5.255566089,81
0.4559442754557792,0.7973634171854123,12.791439362839977,0.12415009306774497,17,10,178,14,26.91917297525638,0.5950120563950202,5.259994611,41
0.48981288267370937,0.8693923051922434,10.704664018383356,0.15431442645826113,14,13,375,28,22.391520715204877,0.651227127748522,5.26036741,82
0.7043394405429781,0.9372217933816879,14.569478246413098,0.16947717277535485,14,8,191,12,31.61295287710896,0.7886488566681668,5.271574214,26
0.5797036100870239,0.7532143404338041,14.415522883211047,0.07749856954273958,17,26,390,17,18.781675631281928,0.48478765743948204,5.327647126,73
0.9300911532505564,0.5108139531970859,14.94170496506853,0.08648720928744394,18,3,279,16,46.275246668244776,0.8065397726798116,5.374339028,94
0.7372398632598419,0.9153823600359422,6.634270717321343,0.19542069762739098,12,1,211,2,14.983937888368246,0.731931746712428,5.397022424,43
0.30263448790011704,0.6779378732168413,8.791981741884214,0.15341568735357872,18,14,362,28,50.22406073465581,0.6687341432997194,5.468212381,39
0.4825227961785964,0.9452953978531389,12.238834408825943,0.16302642419384814,14,24,137,11,37.315633289087934,0.8994585318929897,5.498270793,54
0.7674543760607372,0.7139886861365564,11.896900702813541,0.1485354194593152,16,2,160,25,43.326553110577464,0.3159800677920521,5.518659851,87
0.5435214368359165,0.7783282518790627,1.1359882921492295,0.10884559834440835,15,25,240,20,85.36153623551868,0.7228866694355413,5.521778978,53
0.8345298786791111,0.7686256177906106,8.138339566814821,0.14059362060365407,12,16,315,9,35.81095758460528,0.7481804284808202,5.533279088,77
0.42640333415506165,0.43562780105330406,11.89192157300441,0.279872836254454,22,13,608,28,86.24309060346678,0.8568799484979052,5.555536448,10
0.7554715535773667,0.8103442417635994,14.922324883841172,0.06561695142034236,13,6,358,23,41.467991892969714,0.677262698875023,5.55836059,60
0.724077591118087,0.815252116935295,11.072602650730035,0.03548096501929548,13,8,567,17,25.68404709357534,0.5605151019237247,5.580004462,88
0.6977031916810936,0.309939350239251,12.305451318702865,0.25653575751262686,22,23,593,9,49.14504265462646,0.7962674919405722,5.599200654,5
0.8452224522540439,0.38473862284776567,11.42134596387033,0.09733546911029511,21,4,512,14,54.180527473034005,0.46954058466473036,5.625742997,4
0.39272437338333405,0.6374888281197824,5.877413833299677,0.07551557787333434,19,20,312,26,89.74434624103733,0.49504647170936067,5.659698738,14
0.5140469069176351,0.9535455035207672,10.292173154448445,0.07160436198638458,15,3,125,23,60.740015595141784,0.6967079055411963,5.671534251,29
0.9486725798344062,0.7054025564339877,13.09822954559878,0.042264442529354504,12,2,517,19,20.509927601502635,0.6983525570574156,5.675716547,25
0.6217616877255754,0.7053382795017481,0.0695508385233854,0.12946899649114912,11,29,565,5,40.33486467986272,0.5623906345663465,5.739078309,28
0.751354167279667,0.8369954519002715,8.069385157892565,0.15339511630308217,11,11,401,16,63.56143141000804,0.4181253232726015,5.741715604,34
0.8090212285285895,0.6034018699582088,13.056866131569311,0.2973151211639253,9,21,435,24,9.260201827888604,0.9499296672832821,5.919644551,50
0.5577587304495948,0.74447029707612,9.512111684758933,0.04832735316659981,10,17,673,28,16.44141152454077,0.8830071342095208,6.047682584,95
0.7091586712782135,0.7273563346654484,5.191344798785831,0.18628083474698703,8,2,672,25,52.73379147650968,0.8580369133062742,6.052692208,52
0.8920138888904221,0.5873615469828276,14.139010105325601,0.02021797406968527,22,4,246,18,66.7930325996644,0.8313361138172176,6.053260673,44
0.25380047565188824,0.5772453734691513,9.496962403755244,0.03672610012540187,20,19,670,7,78.41497925102335,0.7466925018334718,6.287524539,15
0.663639256590636,0.9170545087722636,13.272764161946915,0.012989585011010926,25,27,152,13,23.985449254801253,0.652400558300061,6.302929159,71
0.597271299584081,0.38494787030681593,6.8234158812927,0.21795580587812097,18,9,104,0,24.199460028620855,0.46092478374801726,6.331277362,61
0.8369898216186816,0.8617970154202562,2.652973329500849,0.08609226413813731,10,6,198,16,58.17426855808,0.6344803483950016,6.35553796,46
