,US_Port,US_Port_Clustered,STATE_CODE
90,"FREEPORT,TX (5311)","FREEPORT,TX",TX
91,"FRIDAY HARBOR,WA","FRIDAY HARBOR,WA",WA
92,"FRONT ROYAL,VA","FRONT ROYAL,VA",VA
93,"FT. LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT, FL","FT. LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT, FL",FL
94,"GALVESTON,TX","GALVESTON,TX",TX
95,"GARY,IN","GARY,IN",IN
96,"GATEWAY FREIGHT SERV INC, LAX, CA","GATEWAY FREIGHT SERV INC, LAX, CA",CA
97,"GEORGETOWN,SC","GEORGETOWN,SC",SC
98,"GLOUCESTER,MA","GLOUCESTER,MA",MA
99,"GRAMERCY,LA","GRAMERCY,LA",LA
100,"GRAND RAPIDS,MI","GRAND RAPIDS,MI",MI
101,"GREEN BAY,WI","GREEN BAY,WI",WI
102,"GREENSBORO,NC","GREENSBORO,NC",NC
103,"GREENVILLE,MS","GREENVILLE,MS",MS
104,"GREENVILLE-SPARTANBURG,SC","GREENVILLE-SPARTANBURG,SC",SC
105,"GUAYANILLA,PR","GUAYANILLA,PR",PR
106,"GULFPORT,MS","GULFPORT,MS",MS
107,"HARTFORD,CT","HARTFORD,CT",CT
108,"HIDALGO,TX","HIDALGO,TX",TX
109,"HILO,HI","HILO,HI",HI
110,"HONOLULU INTL. AIRPORT,HI","HONOLULU INTL. AIRPORT,HI",HI
111,"HONOLULU,HI","HONOLULU,HI",HI
112,"HOPEWELL,VA","HOPEWELL,VA",VA
113,"HOULTON,ME","HOULTON,ME",ME
114,"HOUSTON INTERCONTL AIRP, TX","HOUSTON INTERCONTL AIRP, TX",TX
115,"HOUSTON,TX","HOUSTON,TX",TX
116,"IBC PACIFIC, CA","IBC PACIFIC, CA",CA
117,"INDIANAPOLIS,IN","INDIANAPOLIS,IN",IN
118,"INTERNATIONAL FALLS/RANIER,MN","INTERNATIONAL FALLS/RANIER,MN",MN
119,"JACKSONVILLE,FL","JACKSONVILLE,FL",FL
120,"JINEAU,AK","JINEAU,AK",AK
121,"JOHN F. KENNEDY AIRPORT, JFK, NY","JOHN F. KENNEDY AIRPORT, JFK, NY",NY
122,"KAHULUI,HI","KAHULUI,HI",HI
123,"KALAMA,WA","KALAMA,WA",WA
124,"KANSAS CITY,MO","KANSAS CITY,MO",MO
125,"KETCHIKAN,AK","KETCHIKAN,AK",AK
126,"KEY WEST,FL","KEY WEST,FL",FL
127,"KNOXVILLE,TN","KNOXVILLE,TN",TN
128,"KODIAK, AK","KODIAK, AK",AK
129,"KONA, HI","KONA, HI",HI
130,"LAKE CHARLES,LA","LAKE CHARLES,LA",LA
131,"LAREDO,TX","LAREDO,TX",TX
132,"LAS VEGAS,NV","LAS VEGAS,NV",NV
133,"LITTLE ROCK/NORTH LITTLE ROCK,AR","LITTLE ROCK/NORTH LITTLE ROCK,AR",AR
134,"LOGAN AIRPORT,MA","LOGAN AIRPORT,MA",MA
135,"LONG BEACH,CA","LONG BEACH,CA",CA
136,"LONGVIEW,WA","LONGVIEW,WA",WA
137,"LOS ANGELES INTL. AIRPORT, LAX, LOS ANGELES, CA","LOS ANGELES INTL. AIRPORT, LAX, LOS ANGELES, CA",CA
138,"LOS ANGELES,CA","LOS ANGELES,CA",CA
139,"LOUISVILLE,KY","LOUISVILLE,KY",KY
140,"LUBBOCK,TX","LUBBOCK,TX",TX
141,"MAIDA, ND","MAIDA, ND",ND
142,"MARINETTE, WI","MARINETTE, WI",WI
143,"MARTINEZ,CA","MARTINEZ,CA",CA
144,"MAYAGUEZ,PR","MAYAGUEZ,PR",PR
145,"MELBOURNE REGIONAL AIRPORT, FL","MELBOURNE REGIONAL AIRPORT, FL",FL
146,"MELVILLE,RI","MELVILLE,RI",RI
147,"MEMPHIS, TENNESSEE CARTAGE-CONTROL, NEW ORLEANS, LA","MEMPHIS,TN",TN
148,"MEMPHIS,TN","MEMPHIS,TN",TN
149,"MIA/CFS EXP CONSIG FACIL, FL","MIA/CFS EXP CONSIG FACIL, FL",FL
150,"MIAMI INTL. AIRPORT,MIAMI,FL","MIAMI INTL. AIRPORT,MIAMI,FL",FL
151,"MIAMI,FL","MIAMI,FL",FL
152,"MILWAUKEE,WI","MILWAUKEE,WI",WI
153,"MINNEAPOLIS-ST.PAUL,MN","MINNEAPOLIS-ST.PAUL,MN",MN
154,"MOBILE,AL","MOBILE,AL",AL
155,"MONTEREY,CA","MONTEREY,CA",CA
156,"MORGAN CITY,LA","MORGAN CITY,LA",LA
157,"MUSKEGON,MI","MUSKEGON,MI",MI
158,"NACO,AZ","NACO,AZ",AZ
159,"NASHVILLE,TN","NASHVILLE,TN",TN
160,"NAWILIWILI-PORT ALLEN,HI","NAWILIWILI-PORT ALLEN,HI",HI
161,"NEAH BAY,WA","NEAH BAY,WA",WA
162,"NECHE, ND","NECHE, ND",ND
163,"NEW BEDFORD,MA","NEW BEDFORD,MA",MA
164,"NEW HAVEN,CT","NEW HAVEN,CT",CT
165,"NEW LONDON,CT","NEW LONDON,CT",CT
166,"NEW ORLEANS,LA","NEW ORLEANS,LA",LA
167,"NEW RIVER, FL (INCLUDED IN TRAFFIC OF PORT EVERGLADES HARBOR, FL)","NEW RIVER, FL (INCLUDED IN TRAFFIC OF PORT EVERGLADES HARBOR, FL)",FL
168,"NEW YORK, NY",NEW YORK,NY
