Variable,Feature_Importance
Teus,0.5587601824565235
HS_Group_Name_Finished Goods,0.11914220827747374
TCVUSD,0.11227791330576462
Average_Tariff,0.03428084403860285
Price,0.027847251472174844
US_Unemployment_Rate,0.016505085187652244
Foreign_Company_Country_Continent_Asia,0.014747805957200863
Container_LCL/FCL_LCL,0.009531326201425336
HS_Group_Name_Raw Input,0.009476001117138122
Trade_Direction_Import,0.009312163914321079
HS_Group_Name_Edible with Processing,0.0052247251644097995
HS_Mixed,0.004680382627298656
foreign_company_size_large,0.004402269015908216
us_company_size_large,0.004195922436167307
US_Port_Coastal_Region_Southeast,0.00403403348925537
US_Port_Coastal_Region_Northeast,0.0034052259227082622
us_company_size_medium,0.0034041643355289383
US_Port_Coastal_Region_Southwest,0.0031273706346143263
carrier_size_large,0.0030717958177811063
foreign_company_size_medium,0.002834339578218429
Foreign_Country_Region_Southeast Asia,0.002533451792366827
US_Port_Coastal_Region_Northwest,0.002315994824724265
us_company_size_small,0.0021448983427523674
HS_Group_Name_Pharma,0.0019608780326900704
foreign_company_size_unknown,0.0019224358535398088
Container_Type_Dry,0.0017579429485815585
Foreign_Company_Country_Continent_Unknown,0.0016902199362551482
foreign_company_size_small,0.0016713958837444108
Currency_CLD,0.0016080066424898564
Currency_GTQ,0.0015443747369908258
Currency_CNY,0.0014052260256055727
HS_Group_Name_Vices,0.0013424924188250793
cases_weekly,0.00126763559712044
Container_Type_Refrigerated,0.0012054326096384623
Currency_TWD,0.0011544524692480966
US_Port_Coastal_Region_Other,0.0011533167974970841
foreign_company_size_micro,0.0011495036761275954
deaths_weekly,0.001062510304326868
us_company_size_micro,0.0010147618922305252
Free_Trade_Agreement_with_US_True,0.001007114903599846
carrier_size_medium,0.0009745013799216665
Foreign_Company_Country_Continent_South America,0.0009322578257565507
Foreign_Country_Continent_Asia,0.0009134918714275673
Currency_JPY,0.0008301303973046064
Foreign_Country_Region_Other East Asia (not China),0.000822886834915268
Foreign_Country_Region_South Asia,0.0007424198606014859
Foreign_Company_Country_Continent_Europe,0.0007316158011082183
Currency_CRC,0.0006006685138972825
Currency_THB,0.0005874266291273922
Foreign_Country_Continent_South America,0.0005741513526710937
Foreign_Country_Region_Middle East & North Africa,0.0005676827123597371
Foreign_Country_Region_South America,0.0005292259738156925
Currency_EUR,0.0005247446482033015
us_company_size_unknown,0.0005203416440471906
Currency_MYR,0.0004893112586602608
Currency_INR,0.0004846376036951682
Currency_BRL,0.00045785049686543935
Currency_HK,0.00044598549978425026
Currency_TRY,0.0004136789837908101
Currency_KRW,0.0004088344059636071
Currency_DOP,0.00039961611737270844
Currency_MXN,0.0003818551279280844
Currency_GBP,0.000376359270654671
Currency_PHP,0.0003606850708456066
Foreign_Country_Continent_Europe,0.0003476744097236808
Currency_RUB,0.00033153736868919156
Foreign_Company_Country_Continent_North America,0.00032332393588293103
Foreign_Country_Region_Other Europe (not European Union),0.0003058464984102971
Foreign_Company_Country_Continent_Oceania,0.0002975731418923975
Currency_PKR,0.00021471657301075207
Currency_IDR,0.00020859393056523576
Currency_COP,0.00020260768884724877
Currency_ARS,0.00019508035940487425
carrier_size_small,0.00017722862864309462
European_Union_True,0.00017479693512366403
Foreign_Country_Region_European Union,0.00017239577584130837
Foreign_Country_Continent_Oceania,0.00017216180713296788
Foreign_Country_Region_Oceania,0.00016010473970848882
Foreign_Country_Region_Sub Saharan Africa,0.00015481875200404308
Foreign_Country_Region_North America,0.0001509340932484731
Currency_ZAR,0.00014989781308801913
Currency_AUD,0.00013857139709238592
Foreign_Country_Continent_North America,0.0001380402151448691
Currency_CHF,0.00013123811624332193
Currency_SGB,0.00011963365805105429
Currency_HNL,0.00011349482776879408
Currency_SAR,0.00011169693075438366
Currency_PEN,0.00010158523056759408
Currency_NZD,6.623511958979003e-05
Currency_CAD,6.276576130544001e-05
carrier_size_micro,2.1837970201020117e-05
US_Port_Coastal_Region_NOT DECLARED,1.219240282466997e-05
