,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
77,77,77,77,6.754350402,"{'colsample_bylevel': 0.7353937888980129, 'colsample_bytree': 0.8571434512057795, 'gamma': 6.148588353048649, 'learning_rate': 0.03870607172775907, 'max_depth': 12, 'min_child_weight': 22, 'n_estimators': 95, 'reg_alpha': 6, 'reg_lambda': 64.67599418149128, 'subsample': 0.6357905895818021}",97,18.16233542
78,78,78,78,6.878785028,"{'colsample_bylevel': 0.8926055040718421, 'colsample_bytree': 0.6986385292265017, 'gamma': 11.49047759196729, 'learning_rate': 0.07077332481144233, 'max_depth': 11, 'min_child_weight': 7, 'n_estimators': 62, 'reg_alpha': 22, 'reg_lambda': 10.726333765228471, 'subsample': 0.8132678044794358}",74,10.04210166
79,79,79,79,6.899332727,"{'colsample_bylevel': 0.6641225577099293, 'colsample_bytree': 0.9923325591449788, 'gamma': 13.746551506310839, 'learning_rate': 0.16618612064999058, 'max_depth': 9, 'min_child_weight': 17, 'n_estimators': 66, 'reg_alpha': 6, 'reg_lambda': 14.85392559841874, 'subsample': 0.8963456695160663}",32,6.302510116
80,80,80,80,6.964985608,"{'colsample_bylevel': 0.5761788288123824, 'colsample_bytree': 0.32357041862655983, 'gamma': 1.6383963184133998, 'learning_rate': 0.2068481020652351, 'max_depth': 17, 'min_child_weight': 12, 'n_estimators': 134, 'reg_alpha': 20, 'reg_lambda': 43.997858850631154, 'subsample': 0.6136538606639266}",18,17.98351294
81,81,81,81,7.161307606,"{'colsample_bylevel': 0.5925221394978557, 'colsample_bytree': 0.6720607830072574, 'gamma': 8.697732662119595, 'learning_rate': 0.14362097960266504, 'max_depth': 7, 'min_child_weight': 28, 'n_estimators': 216, 'reg_alpha': 29, 'reg_lambda': 24.183877661231463, 'subsample': 0.7646828543122404}",49,13.02345976
82,82,82,82,7.189588534,"{'colsample_bylevel': 0.46179363092378956, 'colsample_bytree': 0.7589821799556469, 'gamma': 11.295086266396872, 'learning_rate': 0.26284494668364355, 'max_depth': 6, 'min_child_weight': 13, 'n_estimators': 316, 'reg_alpha': 26, 'reg_lambda': 15.353478440457039, 'subsample': 0.2596814661471267}",47,16.0417947
83,83,83,83,7.227906691,"{'colsample_bylevel': 0.28155215275683876, 'colsample_bytree': 0.690726206305401, 'gamma': 12.211047022838086, 'learning_rate': 0.04645214492904245, 'max_depth': 8, 'min_child_weight': 7, 'n_estimators': 573, 'reg_alpha': 24, 'reg_lambda': 59.1198758986457, 'subsample': 0.7978631484902189}",84,38.07766557
84,84,84,84,7.270200174,"{'colsample_bylevel': 0.784343497188457, 'colsample_bytree': 0.8302967707900376, 'gamma': 11.601976018229543, 'learning_rate': 0.05762659980801551, 'max_depth': 7, 'min_child_weight': 4, 'n_estimators': 362, 'reg_alpha': 16, 'reg_lambda': 47.29816218595282, 'subsample': 0.3704884368888627}",78,21.00237451
85,85,85,85,7.385750276,"{'colsample_bylevel': 0.7721597896065133, 'colsample_bytree': 0.8695876418016478, 'gamma': 8.133353735986555, 'learning_rate': 0.005517457717556129, 'max_depth': 26, 'min_child_weight': 24, 'n_estimators': 240, 'reg_alpha': 10, 'reg_lambda': 21.518100042110508, 'subsample': 0.9123567206688289}",27,351.3307117
86,86,86,86,7.450849846,"{'colsample_bylevel': 0.8708533754443346, 'colsample_bytree': 0.8082427122236044, 'gamma': 14.98968021323257, 'learning_rate': 0.09602717644232153, 'max_depth': 6, 'min_child_weight': 18, 'n_estimators': 310, 'reg_alpha': 0, 'reg_lambda': 55.8771688042618, 'subsample': 0.8769455897304126}",30,15.78508767
87,87,87,87,7.522483565,"{'colsample_bylevel': 0.857680523397062, 'colsample_bytree': 0.8200851995931346, 'gamma': 14.963683381793658, 'learning_rate': 0.0020667621253448593, 'max_depth': 22, 'min_child_weight': 9, 'n_estimators': 661, 'reg_alpha': 4, 'reg_lambda': 53.296546093671324, 'subsample': 0.735756062481958}",67,533.2433115
88,88,88,88,7.598800118,"{'colsample_bylevel': 0.5133049139131703, 'colsample_bytree': 0.9648253044608489, 'gamma': 10.858128929948178, 'learning_rate': 0.01565406923906483, 'max_depth': 8, 'min_child_weight': 5, 'n_estimators': 456, 'reg_alpha': 4, 'reg_lambda': 28.767372222254185, 'subsample': 0.7081549760488816}",35,32.48531522
89,89,89,89,7.93400152,"{'colsample_bylevel': 0.4506833877912619, 'colsample_bytree': 0.4755571723524199, 'gamma': 4.974051779001555, 'learning_rate': 0.18658947546795296, 'max_depth': 7, 'min_child_weight': 16, 'n_estimators': 129, 'reg_alpha': 22, 'reg_lambda': 33.8790757469866, 'subsample': 0.3474726060448259}",6,8.043274576
90,90,90,90,8.372894451,"{'colsample_bylevel': 0.21546814818524485, 'colsample_bytree': 0.46616013554729074, 'gamma': 9.844114349573266, 'learning_rate': 0.07371691675197842, 'max_depth': 16, 'min_child_weight': 7, 'n_estimators': 112, 'reg_alpha': 25, 'reg_lambda': 60.29995505566072, 'subsample': 0.8696182800010669}",1,12.39364184
91,91,91,91,9.087702388,"{'colsample_bylevel': 0.1312068897667969, 'colsample_bytree': 0.6694897093752965, 'gamma': 4.273316845956737, 'learning_rate': 0.02338619861719087, 'max_depth': 21, 'min_child_weight': 3, 'n_estimators': 409, 'reg_alpha': 10, 'reg_lambda': 76.07939529243077, 'subsample': 0.5286491594841142}",58,31.32223671
92,92,92,92,9.103099771,"{'colsample_bylevel': 0.7256012234762184, 'colsample_bytree': 0.9985944034951313, 'gamma': 14.6500663918477, 'learning_rate': 0.004394855975372328, 'max_depth': 25, 'min_child_weight': 6, 'n_estimators': 201, 'reg_alpha': 11, 'reg_lambda': 20.59844184987241, 'subsample': 0.9460136631556453}",23,286.9955969
93,93,93,93,9.110645874,"{'colsample_bylevel': 0.07395837271924374, 'colsample_bytree': 0.34967289528767587, 'gamma': 3.3029961136539194, 'learning_rate': 0.2023035878381299, 'max_depth': 13, 'min_child_weight': 1, 'n_estimators': 691, 'reg_alpha': 18, 'reg_lambda': 9.654345520405583, 'subsample': 0.5117181775495447}",8,25.12435318
94,94,94,94,9.127402801,"{'colsample_bylevel': 0.41398751366331615, 'colsample_bytree': 0.9510804825011709, 'gamma': 9.801110090321792, 'learning_rate': 0.030446498715358164, 'max_depth': 6, 'min_child_weight': 14, 'n_estimators': 92, 'reg_alpha': 14, 'reg_lambda': 12.186970038161192, 'subsample': 0.6227816550602319}",79,5.95245106
95,95,95,95,9.54767457,"{'colsample_bylevel': 0.05832897716015709, 'colsample_bytree': 0.7656134576797291, 'gamma': 4.134524113913437, 'learning_rate': 0.21460101825734987, 'max_depth': 23, 'min_child_weight': 1, 'n_estimators': 287, 'reg_alpha': 15, 'reg_lambda': 81.74258429848197, 'subsample': 0.7451934784621501}",13,22.6639373
96,96,96,96,10.8232089,"{'colsample_bylevel': 0.05626241750662683, 'colsample_bytree': 0.5453067269061893, 'gamma': 9.145221788608179, 'learning_rate': 0.10402235846800137, 'max_depth': 7, 'min_child_weight': 15, 'n_estimators': 179, 'reg_alpha': 29, 'reg_lambda': 96.25944453779438, 'subsample': 0.33749307838340553}",17,7.121150022
