,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
10,10,10,10,4.844768745,"{'colsample_bylevel': 0.5614913967393718, 'colsample_bytree': 0.8310447678496933, 'gamma': 13.624266641482713, 'learning_rate': 0.11876545970215682, 'max_depth': 25, 'min_child_weight': 25, 'n_estimators': 507, 'reg_alpha': 24, 'reg_lambda': 38.37268913176761, 'subsample': 0.9476119164374818}",24,436.9585211
11,11,11,11,4.855890672,"{'colsample_bylevel': 0.347015931212897, 'colsample_bytree': 0.9758981023577387, 'gamma': 13.164255061241432, 'learning_rate': 0.13460284118398363, 'max_depth': 25, 'min_child_weight': 25, 'n_estimators': 528, 'reg_alpha': 20, 'reg_lambda': 62.22159181094973, 'subsample': 0.8706641179437742}",86,428.2204967
12,12,12,12,4.861388016,"{'colsample_bylevel': 0.8806581024765968, 'colsample_bytree': 0.9292339284818303, 'gamma': 14.621629920182794, 'learning_rate': 0.10221837784602172, 'max_depth': 20, 'min_child_weight': 28, 'n_estimators': 360, 'reg_alpha': 2, 'reg_lambda': 33.13062825378945, 'subsample': 0.9120770053381502}",83,292.9944852
13,13,13,13,4.862299954,"{'colsample_bylevel': 0.8626632737547569, 'colsample_bytree': 0.9669955154098787, 'gamma': 10.870088148071357, 'learning_rate': 0.17665079703669304, 'max_depth': 16, 'min_child_weight': 18, 'n_estimators': 585, 'reg_alpha': 5, 'reg_lambda': 4.548144355133047, 'subsample': 0.9341084108223606}",59,259.9094874
14,14,14,14,4.864850937,"{'colsample_bylevel': 0.7183439499033077, 'colsample_bytree': 0.78597055201661, 'gamma': 12.041132088024202, 'learning_rate': 0.11782410205945745, 'max_depth': 25, 'min_child_weight': 7, 'n_estimators': 252, 'reg_alpha': 17, 'reg_lambda': 39.933523114101526, 'subsample': 0.700190408162806}",69,480.0069577
15,15,15,15,4.86790644,"{'colsample_bylevel': 0.7391850678868204, 'colsample_bytree': 0.6531910315123948, 'gamma': 13.625633311573479, 'learning_rate': 0.11216728790593893, 'max_depth': 25, 'min_child_weight': 1, 'n_estimators': 471, 'reg_alpha': 15, 'reg_lambda': 42.237531997463414, 'subsample': 0.6805455316610738}",80,823.3533801
16,16,16,16,4.895832538,"{'colsample_bylevel': 0.682080982784173, 'colsample_bytree': 0.7224817999954, 'gamma': 3.138032249390565, 'learning_rate': 0.19782903296476878, 'max_depth': 23, 'min_child_weight': 17, 'n_estimators': 682, 'reg_alpha': 16, 'reg_lambda': 48.34643308717091, 'subsample': 0.8326891309384491}",62,716.4844362
17,17,17,17,4.920423083,"{'colsample_bylevel': 0.8336396408498015, 'colsample_bytree': 0.9008744401737364, 'gamma': 14.136548996288433, 'learning_rate': 0.1840821686903476, 'max_depth': 16, 'min_child_weight': 7, 'n_estimators': 405, 'reg_alpha': 27, 'reg_lambda': 36.82086685928803, 'subsample': 0.8493871778206241}",38,218.5577999
18,18,18,18,4.946582093,"{'colsample_bylevel': 0.9460238040535154, 'colsample_bytree': 0.8731102580207297, 'gamma': 14.453920051629932, 'learning_rate': 0.09140127796313105, 'max_depth': 26, 'min_child_weight': 5, 'n_estimators': 100, 'reg_alpha': 3, 'reg_lambda': 57.163291662797505, 'subsample': 0.7705618101594932}",66,366.7624343
19,19,19,19,4.959940996,"{'colsample_bylevel': 0.9465074886001682, 'colsample_bytree': 0.5105394211734791, 'gamma': 5.750392248478642, 'learning_rate': 0.13363056264580236, 'max_depth': 25, 'min_child_weight': 1, 'n_estimators': 475, 'reg_alpha': 7, 'reg_lambda': 33.15792488249273, 'subsample': 0.6738636515407261}",51,865.1673533
