,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
70,70,70,6.547924549,"{'colsample_bylevel': 0.5636597354671395, 'colsample_bytree': 0.6202662930799583, 'gamma': 13.639610051930848, 'learning_rate': 0.10456848740811373, 'max_depth': 11, 'min_child_weight': 28, 'n_estimators': 287, 'reg_alpha': 13, 'reg_lambda': 71.60791408397974, 'subsample': 0.8790089612657066}",90,21.87483032
71,71,71,6.550513843,"{'colsample_bylevel': 0.6683046434498239, 'colsample_bytree': 0.9655498456193282, 'gamma': 11.831003698951081, 'learning_rate': 0.11853658356596934, 'max_depth': 8, 'min_child_weight': 2, 'n_estimators': 694, 'reg_alpha': 18, 'reg_lambda': 97.30235957208647, 'subsample': 0.7279527590513999}",69,27.00502539
72,72,72,6.581469702,"{'colsample_bylevel': 0.35464737363243304, 'colsample_bytree': 0.533784892734289, 'gamma': 4.1171266507282684, 'learning_rate': 0.09969497815350772, 'max_depth': 14, 'min_child_weight': 28, 'n_estimators': 249, 'reg_alpha': 26, 'reg_lambda': 81.0859178875401, 'subsample': 0.8145332014123081}",49,33.81510781
73,73,73,6.604957427,"{'colsample_bylevel': 0.8617473843539266, 'colsample_bytree': 0.3145363469702827, 'gamma': 11.66817594456332, 'learning_rate': 0.14543538932448535, 'max_depth': 19, 'min_child_weight': 7, 'n_estimators': 340, 'reg_alpha': 28, 'reg_lambda': 46.34615439671977, 'subsample': 0.5180388457383683}",99,117.7482696
74,74,74,6.658110717,"{'colsample_bylevel': 0.7852191107334309, 'colsample_bytree': 0.9684845453205186, 'gamma': 10.293233359061965, 'learning_rate': 0.15160898896125607, 'max_depth': 10, 'min_child_weight': 18, 'n_estimators': 167, 'reg_alpha': 11, 'reg_lambda': 93.25889190439996, 'subsample': 0.48894742668746327}",43,10.72385966
75,75,75,6.750261892,"{'colsample_bylevel': 0.21681905989159433, 'colsample_bytree': 0.4938302781615972, 'gamma': 9.5885108950926, 'learning_rate': 0.11691899159517154, 'max_depth': 20, 'min_child_weight': 25, 'n_estimators': 432, 'reg_alpha': 14, 'reg_lambda': 55.55406535587578, 'subsample': 0.8147017358930376}",11,60.82752062
76,76,76,6.884411305,"{'colsample_bylevel': 0.6448939958666752, 'colsample_bytree': 0.7986296778661135, 'gamma': 14.032443639403457, 'learning_rate': 0.023187846957252126, 'max_depth': 16, 'min_child_weight': 20, 'n_estimators': 200, 'reg_alpha': 26, 'reg_lambda': 91.89363200980975, 'subsample': 0.35631069732964193}",2,51.9986172
77,77,77,7.206029766,"{'colsample_bylevel': 0.7067801966056566, 'colsample_bytree': 0.6864994169023049, 'gamma': 5.601712885243005, 'learning_rate': 0.2416204833219593, 'max_depth': 6, 'min_child_weight': 10, 'n_estimators': 687, 'reg_alpha': 28, 'reg_lambda': 96.84773848968325, 'subsample': 0.7991533343172277}",34,18.31842848
78,78,78,7.442335027,"{'colsample_bylevel': 0.6700585569139768, 'colsample_bytree': 0.33869878930529684, 'gamma': 6.1006588145262945, 'learning_rate': 0.14345616691392798, 'max_depth': 25, 'min_child_weight': 22, 'n_estimators': 132, 'reg_alpha': 12, 'reg_lambda': 90.20141162808586, 'subsample': 0.5280800166742627}",18,70.61815633
79,79,79,7.553247775,"{'colsample_bylevel': 0.8099873062501819, 'colsample_bytree': 0.9142984145218143, 'gamma': 13.326164973229346, 'learning_rate': 0.07858267028617938, 'max_depth': 8, 'min_child_weight': 6, 'n_estimators': 175, 'reg_alpha': 14, 'reg_lambda': 76.13089308817598, 'subsample': 0.8215865443069589}",97,7.75037477
80,80,80,7.626228282,"{'colsample_bylevel': 0.5834506847551437, 'colsample_bytree': 0.362460569650939, 'gamma': 4.216121019297355, 'learning_rate': 0.05715023535385139, 'max_depth': 21, 'min_child_weight': 13, 'n_estimators': 102, 'reg_alpha': 8, 'reg_lambda': 4.462220573737719, 'subsample': 0.42366656233745775}",12,57.743424
81,81,81,7.761885586,"{'colsample_bylevel': 0.763048642033179, 'colsample_bytree': 0.4410977091544469, 'gamma': 11.588471628716588, 'learning_rate': 0.2861349308515036, 'max_depth': 8, 'min_child_weight': 13, 'n_estimators': 196, 'reg_alpha': 1, 'reg_lambda': 22.365092994927018, 'subsample': 0.34576049708769085}",17,7.855880032
82,82,82,7.784550143,"{'colsample_bylevel': 0.5093388420371614, 'colsample_bytree': 0.8839127526317173, 'gamma': 10.7420393312781, 'learning_rate': 0.12644159227789065, 'max_depth': 7, 'min_child_weight': 17, 'n_estimators': 189, 'reg_alpha': 12, 'reg_lambda': 79.80248068275452, 'subsample': 0.7168757818110095}",86,6.42648168
83,83,83,7.789624081,"{'colsample_bylevel': 0.4497751608888415, 'colsample_bytree': 0.9209075269415393, 'gamma': 12.606532499432397, 'learning_rate': 0.04285644072856398, 'max_depth': 8, 'min_child_weight': 25, 'n_estimators': 338, 'reg_alpha': 16, 'reg_lambda': 30.003858393382234, 'subsample': 0.250317477875367}",45,13.22580403
84,84,84,7.943682699,"{'colsample_bylevel': 0.6279029143576721, 'colsample_bytree': 0.6027224749881523, 'gamma': 6.207094716688324, 'learning_rate': 0.16176060498348807, 'max_depth': 6, 'min_child_weight': 7, 'n_estimators': 379, 'reg_alpha': 24, 'reg_lambda': 38.036036395395584, 'subsample': 0.5009842776123012}",60,10.52612394
85,85,85,8.112548387,"{'colsample_bylevel': 0.7311606364126625, 'colsample_bytree': 0.7056443886110174, 'gamma': 8.759803407034248, 'learning_rate': 0.07792344360948517, 'max_depth': 6, 'min_child_weight': 22, 'n_estimators': 391, 'reg_alpha': 8, 'reg_lambda': 55.164625282382495, 'subsample': 0.6451398792496029}",85,10.81663525
86,86,86,8.235983403,"{'colsample_bylevel': 0.8827693437901342, 'colsample_bytree': 0.47633491926094657, 'gamma': 14.571126398878745, 'learning_rate': 0.016453482281051535, 'max_depth': 12, 'min_child_weight': 2, 'n_estimators': 319, 'reg_alpha': 8, 'reg_lambda': 74.7161390672596, 'subsample': 0.32867437343292527}",47,37.85414959
87,87,87,8.338901431,"{'colsample_bylevel': 0.42246093853462446, 'colsample_bytree': 0.8442569728604007, 'gamma': 8.020736573448104, 'learning_rate': 0.0050166205523472784, 'max_depth': 10, 'min_child_weight': 15, 'n_estimators': 617, 'reg_alpha': 21, 'reg_lambda': 59.581785873741, 'subsample': 0.5698083973430542}",95,42.82254385
88,88,88,8.35481334,"{'colsample_bylevel': 0.7896122952665409, 'colsample_bytree': 0.3633558226391258, 'gamma': 0.15077797982255225, 'learning_rate': 0.17451665727345342, 'max_depth': 6, 'min_child_weight': 23, 'n_estimators': 400, 'reg_alpha': 26, 'reg_lambda': 90.1040830334272, 'subsample': 0.4222691137848815}",3,11.18079663
89,89,89,8.457877638,"{'colsample_bylevel': 0.1791000088056885, 'colsample_bytree': 0.4981648974020877, 'gamma': 11.216664131463354, 'learning_rate': 0.06539381643191479, 'max_depth': 24, 'min_child_weight': 3, 'n_estimators': 374, 'reg_alpha': 23, 'reg_lambda': 94.20993716391344, 'subsample': 0.9397260615426295}",92,59.47610797
90,90,90,8.569994805,"{'colsample_bylevel': 0.19098339554905414, 'colsample_bytree': 0.3542520988092532, 'gamma': 0.46172975270241223, 'learning_rate': 0.29271318688027453, 'max_depth': 27, 'min_child_weight': 4, 'n_estimators': 205, 'reg_alpha': 27, 'reg_lambda': 54.103553916114166, 'subsample': 0.5501924419385846}",10,151.8413653
91,91,91,8.67284042,"{'colsample_bylevel': 0.7405659219220215, 'colsample_bytree': 0.9204874730638145, 'gamma': 11.757236580206445, 'learning_rate': 0.10228757965713374, 'max_depth': 7, 'min_child_weight': 28, 'n_estimators': 68, 'reg_alpha': 19, 'reg_lambda': 41.98917863353136, 'subsample': 0.7319364335075546}",24,2.812723483
92,92,92,8.873363506,"{'colsample_bylevel': 0.10381159597476042, 'colsample_bytree': 0.7635684833845593, 'gamma': 6.588798753491931, 'learning_rate': 0.17796011824670238, 'max_depth': 25, 'min_child_weight': 18, 'n_estimators': 72, 'reg_alpha': 7, 'reg_lambda': 87.39790565102221, 'subsample': 0.7652528354027078}",46,18.43538327
93,93,93,9.425854532,"{'colsample_bylevel': 0.2636305329846455, 'colsample_bytree': 0.7349555310251443, 'gamma': 9.321644905569318, 'learning_rate': 0.012248183013374062, 'max_depth': 9, 'min_child_weight': 24, 'n_estimators': 270, 'reg_alpha': 6, 'reg_lambda': 76.5854994060887, 'subsample': 0.761963369053863}",82,13.63443333
94,94,94,9.623435208,"{'colsample_bylevel': 0.1329703036779309, 'colsample_bytree': 0.9181120701595885, 'gamma': 11.174858557421523, 'learning_rate': 0.2708709436905897, 'max_depth': 7, 'min_child_weight': 21, 'n_estimators': 57, 'reg_alpha': 13, 'reg_lambda': 57.922238716026115, 'subsample': 0.8537099070145113}",52,2.264910848
95,95,95,10.22098506,"{'colsample_bylevel': 0.07319568043945106, 'colsample_bytree': 0.30175591464305274, 'gamma': 8.932925825047603, 'learning_rate': 0.15942330827166917, 'max_depth': 21, 'min_child_weight': 17, 'n_estimators': 606, 'reg_alpha': 4, 'reg_lambda': 34.91338627138639, 'subsample': 0.8681532771870386}",16,20.09019668
96,96,96,12.31218715,"{'colsample_bylevel': 0.9081004933321255, 'colsample_bytree': 0.5573779159340446, 'gamma': 14.994052889169819, 'learning_rate': 0.00120498788799267, 'max_depth': 26, 'min_child_weight': 9, 'n_estimators': 530, 'reg_alpha': 15, 'reg_lambda': 48.101557697764484, 'subsample': 0.7443952316703151}",35,321.9216763
97,97,97,14.06966665,"{'colsample_bylevel': 0.05371160135024503, 'colsample_bytree': 0.9847428797599003, 'gamma': 9.312715490024937, 'learning_rate': 0.008543098967950694, 'max_depth': 9, 'min_child_weight': 5, 'n_estimators': 82, 'reg_alpha': 13, 'reg_lambda': 27.149129265598184, 'subsample': 0.5136122084993884}",20,2.743650005
