,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
18,18,18,5.309400989,"{'colsample_bylevel': 0.9337904515443238, 'colsample_bytree': 0.9356146056898358, 'gamma': 12.635329348068646, 'learning_rate': 0.2964589250649049, 'max_depth': 20, 'min_child_weight': 14, 'n_estimators': 550, 'reg_alpha': 20, 'reg_lambda': 52.217738471780265, 'subsample': 0.9146343332246336}",63,334.727801
19,19,19,5.320395895,"{'colsample_bylevel': 0.6494190006201608, 'colsample_bytree': 0.7705505370774797, 'gamma': 11.527936496705763, 'learning_rate': 0.02461509312302875, 'max_depth': 23, 'min_child_weight': 4, 'n_estimators': 648, 'reg_alpha': 7, 'reg_lambda': 62.83801410208161, 'subsample': 0.6122575893971565}",84,942.0095387
20,20,20,5.323230505,"{'colsample_bylevel': 0.2785908188717222, 'colsample_bytree': 0.7599772838752363, 'gamma': 8.052479248343467, 'learning_rate': 0.07214312597634898, 'max_depth': 24, 'min_child_weight': 2, 'n_estimators': 677, 'reg_alpha': 0, 'reg_lambda': 82.67530267819106, 'subsample': 0.9471851744657502}",39,673.7330362
21,21,21,5.334557736,"{'colsample_bylevel': 0.5973495147932157, 'colsample_bytree': 0.9454090676814917, 'gamma': 1.788521104171644, 'learning_rate': 0.20709697608516286, 'max_depth': 18, 'min_child_weight': 6, 'n_estimators': 159, 'reg_alpha': 21, 'reg_lambda': 60.95178651991038, 'subsample': 0.7621398831062851}",28,111.4477988
22,22,22,5.351242179,"{'colsample_bylevel': 0.7702557100133945, 'colsample_bytree': 0.9741731898197052, 'gamma': 14.42220830567962, 'learning_rate': 0.03560305183657342, 'max_depth': 26, 'min_child_weight': 5, 'n_estimators': 564, 'reg_alpha': 2, 'reg_lambda': 71.80109089604045, 'subsample': 0.302744187919589}",65,945.8456331
23,23,23,5.353931738,"{'colsample_bylevel': 0.8807914883437551, 'colsample_bytree': 0.8936371843453105, 'gamma': 13.550439762515493, 'learning_rate': 0.20054592151214182, 'max_depth': 17, 'min_child_weight': 3, 'n_estimators': 611, 'reg_alpha': 22, 'reg_lambda': 70.43899444522384, 'subsample': 0.6519964391842845}",25,366.5517223
24,24,24,5.420616306,"{'colsample_bylevel': 0.6828521220912057, 'colsample_bytree': 0.9101922675369628, 'gamma': 0.9080645768342812, 'learning_rate': 0.14293184636694162, 'max_depth': 18, 'min_child_weight': 15, 'n_estimators': 589, 'reg_alpha': 10, 'reg_lambda': 61.89766037358505, 'subsample': 0.5722172958715842}",61,294.4466457
25,25,25,5.456240916,"{'colsample_bylevel': 0.7189948647865751, 'colsample_bytree': 0.7851248196220229, 'gamma': 8.987633864378099, 'learning_rate': 0.22401226987987083, 'max_depth': 26, 'min_child_weight': 6, 'n_estimators': 350, 'reg_alpha': 14, 'reg_lambda': 30.999828536440376, 'subsample': 0.6578056315555431}",58,673.9319821
26,26,26,5.47876648,"{'colsample_bylevel': 0.8383599819750888, 'colsample_bytree': 0.6660144368759966, 'gamma': 4.99912805129577, 'learning_rate': 0.0746301519878935, 'max_depth': 15, 'min_child_weight': 4, 'n_estimators': 454, 'reg_alpha': 11, 'reg_lambda': 37.0713693110587, 'subsample': 0.8662143446424293}",44,156.3625818
27,27,27,5.495895005,"{'colsample_bylevel': 0.4874558639452018, 'colsample_bytree': 0.950942247653984, 'gamma': 2.6273858365172194, 'learning_rate': 0.09214017559847466, 'max_depth': 15, 'min_child_weight': 7, 'n_estimators': 410, 'reg_alpha': 23, 'reg_lambda': 42.84038391513133, 'subsample': 0.6652219338901059}",30,114.0526317
28,28,28,5.509843177,"{'colsample_bylevel': 0.7160681446904439, 'colsample_bytree': 0.8070155098438556, 'gamma': 12.551750010213368, 'learning_rate': 0.019089202803102917, 'max_depth': 25, 'min_child_weight': 2, 'n_estimators': 493, 'reg_alpha': 15, 'reg_lambda': 91.73249064547073, 'subsample': 0.5880898722189303}",70,899.9319971
29,29,29,5.523682658,"{'colsample_bylevel': 0.48201275175074426, 'colsample_bytree': 0.5759144916262336, 'gamma': 12.348426154754268, 'learning_rate': 0.09617681617696323, 'max_depth': 25, 'min_child_weight': 11, 'n_estimators': 618, 'reg_alpha': 1, 'reg_lambda': 43.74613842731547, 'subsample': 0.7981153384713038}",91,675.5079129
30,30,30,5.533702421,"{'colsample_bylevel': 0.7439651880417723, 'colsample_bytree': 0.85019950229865, 'gamma': 13.020071460007397, 'learning_rate': 0.031545623633958686, 'max_depth': 18, 'min_child_weight': 15, 'n_estimators': 512, 'reg_alpha': 24, 'reg_lambda': 61.76615248550147, 'subsample': 0.6248225075443963}",31,241.5582658
