feature,weight,std
TCVUSD,0.8987364888924434,0.0003746109800526001
Average_Tariff,0.2766648114551155,0.0003467221512208425
US_Port_Coastal_Region_Northwest,0.14279062411475013,0.0003506503993123363
Trade_Direction_Import,0.11789132449725495,0.00032240248539444855
US_Port_Coastal_Region_Southeast,0.10657594121800411,0.00017067398686186315
Year,0.0779546811396052,0.00020164702984023283
us_company_size,0.07616028631269851,0.00021033505207033117
Container_Type_Dry_True,0.04999148195829375,0.00025714292023688005
US_Port_Coastal_Region_Northeast,0.049443909137965036,8.969562608666094e-05
Foreign_Country_Region_Other Europe (not European Union),0.04696223946919105,0.00014860538155054968
State_Closure_EA_Diff,0.04073582069690236,0.0001938914856010228
Foreign_Country_Region_Sub Saharan Africa,0.039488652580804494,0.000143261507586686
HS_Group_Name_Pharma,0.038840262596291406,0.00014510750575780007
Container_LCL/FCL_LCL,0.029422708425314536,0.00011198426661149772
US_Port_Coastal_Region_Other,0.028307922061003188,4.251540401505925e-05
US_Port_Coastal_Region_Southwest,0.02069460680868227,4.8280287901204e-05
HS_Group_Name_Raw Input,0.02039723675694265,6.285753706127017e-05
HS_Group_Name_Finished Goods,0.020039392819637382,9.300410468583784e-05
Foreign_Country_Region_South Asia,0.01809951775711165,7.016632133273926e-05
Foreign_Country_Region_Middle East & North Africa,0.01748847761487815,0.00010518619520208478
