loss,params,iteration,estimators,train_time
406.9278236713175,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9475841843852904, 'force_col_wise': '+', 'learning_rate': 0.12470360037679114, 'max_depth': 5, 'num_leaves': 36, 'reg_alpha': 0.5472541522363245, 'reg_lambda': 0.031845580357091854, 'subsample': 0.9914021043111424}",23,1000,779.2111959999893
403.8973740506597,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7634776189497445, 'force_col_wise': '+', 'learning_rate': 0.2860172307708787, 'max_depth': 5, 'num_leaves': 96, 'reg_alpha': 0.9979955354555463, 'reg_lambda': 0.12369990815973037, 'subsample': 0.9864053448312599}",24,795,627.8099859000649
411.65586102818605,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9365690002931812, 'force_col_wise': '+', 'learning_rate': 0.07682235599881723, 'max_depth': 5, 'num_leaves': 45, 'reg_alpha': 0.9920302304492232, 'reg_lambda': 0.154409898406207, 'subsample': 0.8239360476738524}",25,1000,781.9492913999129
406.6040586348397,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.847254364787671, 'force_col_wise': '+', 'learning_rate': 0.6575406812670843, 'max_depth': 5, 'num_leaves': 56, 'reg_alpha': 0.7735566853878237, 'reg_lambda': 0.2802623070114107, 'subsample': 0.9000838001437328}",26,363,327.5599960000254
402.8456342017444,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9262735141594735, 'force_col_wise': '+', 'learning_rate': 0.2504688238048446, 'max_depth': 5, 'num_leaves': 92, 'reg_alpha': 0.6102232859242911, 'reg_lambda': 0.1849890834794639, 'subsample': 0.7757103937004418}",27,936,736.040116499993
406.73064103067264,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8531510748246096, 'force_col_wise': '+', 'learning_rate': 0.12693514012793927, 'max_depth': 5, 'num_leaves': 92, 'reg_alpha': 0.6083090443606569, 'reg_lambda': 0.23705097123561425, 'subsample': 0.7648063519862797}",28,1000,776.7869531000033
406.8078949922096,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7950323185046928, 'force_col_wise': '+', 'learning_rate': 0.4103980459990954, 'max_depth': 5, 'num_leaves': 37, 'reg_alpha': 0.46599310421459206, 'reg_lambda': 0.3681726127138365, 'subsample': 0.7583844982139026}",29,414,358.54760519997217
402.582641480439,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7903894557293958, 'force_col_wise': '+', 'learning_rate': 0.26082793522446374, 'max_depth': 5, 'num_leaves': 52, 'reg_alpha': 0.7921174243234956, 'reg_lambda': 0.189191575675687, 'subsample': 0.5578844449545322}",30,1000,766.6365767000243
405.8354994584268,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7826342557567448, 'force_col_wise': '+', 'learning_rate': 0.15478938925605196, 'max_depth': 5, 'num_leaves': 52, 'reg_alpha': 0.39005969404275287, 'reg_lambda': 0.19478077954267534, 'subsample': 0.5431245489783249}",31,1000,767.6978574000532
404.8515124960816,"{'boosting_type': 'dart', 'colsample_bytree': 0.7148974553940132, 'force_col_wise': '+', 'learning_rate': 0.6933152299760814, 'max_depth': 5, 'num_leaves': 92, 'reg_alpha': 0.5256189542850245, 'reg_lambda': 0.05612034810402297, 'subsample': 0.9131580440866527}",32,999,7390.514207799919
405.3618059350497,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7207442071041043, 'force_col_wise': '+', 'learning_rate': 0.28840807433209337, 'max_depth': 5, 'num_leaves': 39, 'reg_alpha': 0.6219836291444045, 'reg_lambda': 0.36588911617733966, 'subsample': 0.5949702241285286}",33,754,596.2400861999486
